transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000572,card_00389,2026-01-26T13:46:32Z,utilities,True,False,dev_001177,US,9193
txn_0000573,card_00789,2026-01-01T17:57:23Z,grocery,True,False,dev_002026,SG,9659
txn_0000574,card_00709,2026-01-06T04:46:28Z,pharmacy,False,False,dev_003345,DE,8675
txn_0000575,card_00684,2026-01-16T08:05:01Z,atm_withdrawal,False,False,dev_001356,IN,20292
txn_0000576,card_00046,2026-01-16T00:11:01Z,utilities,True,False,dev_003847,DE,4143
txn_0000577,card_00206,2026-01-02T11:12:23Z,pharmacy,True,False,dev_003365,DE,19578
txn_0000578,card_00810,2026-01-13T05:59:43Z,restaurant,False,False,dev_003804,AE,6012
txn_0000579,card_00022,2026-01-13T17:31:06Z,online_retail,False,False,dev_003682,GB,15504
txn_0000580,card_00831,2026-01-16T04:25:43Z,travel,True,False,dev_001426,SG,2461
txn_0000581,card_00824,2026-01-07T21:13:18Z,utilities,True,False,dev_004142,GB,618
txn_0000582,card_00116,2026-01-25T09:51:04Z,travel,False,False,dev_001879,GB,1075
txn_0000583,card_00851,2026-01-20T20:03:01Z,utilities,True,False,dev_001996,IN,4199
txn_0000584,card_00473,2026-01-15T03:41:52Z,travel,False,False,dev_002513,GB,21457
txn_0000585,card_00007,2026-01-10T01:29:49Z,entertainment,True,False,dev_002602,SG,3876
txn_0000586,card_00430,2026-01-21T13:44:59Z,electronics,True,False,dev_000071,GB,6410
txn_0000587,card_00274,2026-01-17T07:23:58Z,grocery,True,False,dev_000594,GB,15686
txn_0000588,card_00279,2026-01-15T00:38:45Z,restaurant,True,False,dev_001703,DE,1687
txn_0000589,card_00257,2026-01-04T19:29:36Z,atm_withdrawal,True,False,dev_001596,GB,3207
txn_0000590,card_00469,2026-01-09T20:01:01Z,fuel,True,False,dev_004521,SG,9176
txn_0000591,card_00134,2026-01-10T21:33:42Z,atm_withdrawal,False,False,dev_000544,AE,30829
txn_0000592,card_00570,2026-01-04T07:41:17Z,travel,True,False,dev_003547,IN,4261
txn_0000593,card_00508,2026-01-29T08:59:36Z,online_retail,True,False,dev_001977,IN,1921
txn_0000594,card_00569,2026-01-15T07:50:45Z,electronics,False,False,dev_000996,DE,62931
txn_0000595,card_00070,2026-01-20T01:21:34Z,entertainment,True,False,dev_002568,DE,3204
txn_0000596,card_00080,2026-01-03T22:39:19Z,pharmacy,False,False,dev_000301,DE,16345
txn_0000597,card_00680,2026-01-26T01:55:44Z,travel,False,False,dev_001895,US,1451
txn_0000598,card_00716,2026-01-04T03:16:45Z,fuel,False,False,dev_003460,SG,18405
txn_0000599,card_00569,2026-01-29T10:13:45Z,atm_withdrawal,False,False,dev_003214,DE,891
txn_0000600,card_00470,2026-01-01T16:30:38Z,online_retail,False,False,dev_004127,SG,6966
txn_0000601,card_00247,2026-01-09T07:58:37Z,grocery,True,False,dev_004438,US,21428
txn_0000602,card_00117,2026-01-06T10:16:01Z,pharmacy,False,False,dev_004198,DE,13319
txn_0000603,card_00482,2026-01-23T03:55:39Z,pharmacy,False,False,dev_001636,AE,1785
txn_0000604,card_00524,2026-01-25T06:02:42Z,electronics,True,False,dev_002418,DE,16333
txn_0000605,card_00119,2026-01-04T20:42:20Z,restaurant,True,False,dev_004694,AE,6791
txn_0000606,card_00067,2026-01-20T19:15:01Z,entertainment,True,False,dev_001243,IN,12252
txn_0000607,card_00881,2026-01-24T13:28:10Z,utilities,True,False,dev_001433,AE,9461
txn_0000608,card_00814,2026-01-21T01:31:09Z,fuel,True,False,dev_000708,GB,40298
txn_0000609,card_00635,2026-01-15T03:08:30Z,online_retail,True,False,dev_004816,DE,1522
txn_0000610,card_00282,2026-01-05T03:32:19Z,pharmacy,False,False,dev_004472,IN,9137
txn_0000611,card_00655,2026-01-21T19:09:22Z,fuel,False,False,dev_000532,US,45629
txn_0000612,card_00233,2026-01-09T08:54:43Z,online_retail,False,False,dev_004488,AE,160833
txn_0000613,card_00149,2026-01-30T21:31:37Z,travel,True,False,dev_000656,DE,17607
txn_0000614,card_00197,2026-01-12T16:25:56Z,travel,True,False,dev_001834,SG,19171
txn_0000615,card_00102,2026-01-06T14:14:02Z,electronics,False,False,dev_002644,GB,5390
txn_0000616,card_00883,2026-01-13T20:06:25Z,electronics,False,False,dev_000247,GB,12216
txn_0000617,card_00802,2026-01-29T04:07:57Z,entertainment,True,False,dev_004705,DE,627
txn_0000618,card_00760,2026-01-02T04:27:10Z,pharmacy,False,False,dev_003200,IN,4927
txn_0000619,card_00666,2026-01-08T21:16:44Z,fuel,False,False,dev_001448,GB,5854
txn_0000620,card_00019,2026-01-11T16:50:09Z,grocery,False,False,dev_000163,GB,3344
txn_0000621,card_00477,2026-01-05T23:17:14Z,restaurant,False,False,dev_001390,DE,4742
txn_0000622,card_00293,2026-01-30T02:39:52Z,fuel,True,False,dev_002357,SG,13597
txn_0000623,card_00755,2026-01-30T16:42:12Z,electronics,True,False,dev_002121,SG,13914
txn_0000624,card_00738,2026-01-04T14:15:10Z,restaurant,True,False,dev_001821,IN,1561
